Code_postal,P16_POP,P11_POP,SUPERF,NAIS1116,DECE1116,P16_MEN,NAISD18,DECESD18,P16_LOG,P16_RP,P16_RSECOCC,P16_LOGVAC,P16_RP_PROP,NBMENFISC16,PIMP16,MED16,TP6016,P16_EMPLT,P16_EMPLT_SAL,P11_EMPLT,P16_POP1564,P16_CHOM1564,P16_ACT1564,ETTOT15,ETAZ15,ETBE15,ETFZ15,ETGU15,ETGZ15,ETOQ15,ETTEF115,ETTEFP1015
31000,475438,447340,118.3,32723,13350,255005.19901635297,6818,2791,288251.84778679634,255005.19901635297,9704.21728850966,23542.431481933687,83548.64875104149,206811.0,53.0,20430.0,19.0,310260.7093131558,277402.6422026324,290807.94908064493,343833.4962920377,43697.42235089017,246491.0913027862,55138.0,82.0,1834.0,5047.0,38803.0,7663.0,9372.0,11871.0,3397.0
31100,475438,447340,118.3,32723,13350,255005.19901635297,6818,2791,288251.84778679634,255005.19901635297,9704.21728850966,23542.431481933687,83548.64875104149,206811.0,53.0,20430.0,19.0,310260.7093131558,277402.6422026324,290807.94908064493,343833.4962920377,43697.42235089017,246491.0913027862,55138.0,82.0,1834.0,5047.0,38803.0,7663.0,9372.0,11871.0,3397.0
31120,23974,23095,45.89,1396,746,9850.530458612786,277,170,10550.918884135901,9850.530458612786,76.20854752392381,624.1798779991927,6627.26435686181,9798.0,62.4,23743.972222222223,8.75,11744.73238249375,10461.723303916648,12679.199185311767,14818.16985040389,1318.2427468493854,11327.902413734513,2855.0,23.0,167.0,392.0,1945.0,741.0,328.0,797.0,234.0
31170,26436,25763,18.17,1525,629,11304.46467118958,267,143,11981.35512087462,11304.46467118958,105.7991421924022,571.0913074926385,7055.570037118312,11391.0,69.0,27319.565217391308,7.0,6120.260897429568,5091.519418479257,5958.733816797802,17163.068017975816,1401.8408308026974,13194.968284125456,1906.0,10.0,74.0,193.0,1213.0,260.0,416.0,389.0,94.0
31200,475438,447340,118.3,32723,13350,255005.19901635297,6818,2791,288251.84778679634,255005.19901635297,9704.21728850966,23542.431481933687,83548.64875104149,206811.0,53.0,20430.0,19.0,310260.7093131558,277402.6422026324,290807.94908064493,343833.4962920377,43697.42235089017,246491.0913027862,55138.0,82.0,1834.0,5047.0,38803.0,7663.0,9372.0,11871.0,3397.0
31270,36114,33025,26.0,2317,1076,15191.019616184398,447,245,16173.711427838032,15191.019616184398,86.9577946465343,895.7340170071001,9427.041420007232,15108.0,60.0,22868.666666666668,9.666666666666666,7947.044753900111,6625.752882892609,7881.191654329596,22691.93621277055,2116.275349653213,17828.69992355255,2564.0,16.0,145.0,401.0,1538.0,419.0,464.0,510.0,132.0
31300,475438,447340,118.3,32723,13350,255005.19901635297,6818,2791,288251.84778679634,255005.19901635297,9704.21728850966,23542.431481933687,83548.64875104149,206811.0,53.0,20430.0,19.0,310260.7093131558,277402.6422026324,290807.94908064493,343833.4962920377,43697.42235089017,246491.0913027862,55138.0,82.0,1834.0,5047.0,38803.0,7663.0,9372.0,11871.0,3397.0
31400,475438,447340,118.3,32723,13350,255005.19901635297,6818,2791,288251.84778679634,255005.19901635297,9704.21728850966,23542.431481933687,83548.64875104149,206811.0,53.0,20430.0,19.0,310260.7093131558,277402.6422026324,290807.94908064493,343833.4962920377,43697.42235089017,246491.0913027862,55138.0,82.0,1834.0,5047.0,38803.0,7663.0,9372.0,11871.0,3397.0
31470,32493,30264,155.9,1954,931,12358.472666359141,318,222,13220.540977340435,12358.472666359141,172.76187316882698,689.3064378124669,9053.730248045558,12457.0,58.25,22991.904761904763,7.666666666666667,5831.151163143573,4622.331995255028,5432.25038734396,21057.877352713203,1625.9521026965895,16486.937772186935,2291.0,107.0,137.0,408.0,1239.0,326.0,400.0,411.0,77.0
31500,475438,447340,118.3,32723,13350,255005.19901635297,6818,2791,288251.84778679634,255005.19901635297,9704.21728850966,23542.431481933687,83548.64875104149,206811.0,53.0,20430.0,19.0,310260.7093131558,277402.6422026324,290807.94908064493,343833.4962920377,43697.42235089017,246491.0913027862,55138.0,82.0,1834.0,5047.0,38803.0,7663.0,9372.0,11871.0,3397.0
31600,51183,47635,153.75,3039,1623,20923.72815193727,542,366,22623.0964925435,20923.72815193727,212.21500607072753,1487.153334535501,12484.663654417755,20415.0,56.5,22375.5,10.5,16544.93271146056,14110.3544743545,15946.96467869592,33371.69483353432,3238.279885210515,24724.386912087386,4323.0,113.0,228.0,598.0,2542.0,708.0,842.0,903.0,223.0
31700,43966,39695,68.77,2859,1180,19774.99055543087,603,271,21357.37876556135,19774.99055543087,652.1136786387056,930.2745314917756,10869.370334496172,18915.0,64.2,23672.5,9.0,42857.857090353646,40481.329193571844,40272.695632481504,29209.845775569993,2606.2325843503804,23418.3682222535,4125.0,42.0,182.0,330.0,2835.0,645.0,736.0,1050.0,413.0
31820,8379,8182,25.86,414,309,3347.3110448177586,81,84,3594.0967870817617,3347.3110448177586,24.212940750430484,222.57280151357253,2452.053889635731,3373.0,72.0,28028.85714285714,6.0,1476.9710890164474,1155.5109679332909,1380.188067485509,5234.926124267751,326.8084747898995,3970.256937557808,563.0,14.0,27.0,59.0,322.0,45.0,141.0,91.0,22.0
31830,18250,16039,26.53,1087,520,7256.46959030222,210,113,7691.110191556099,7256.46959030222,44.66837688212365,389.9722243717556,4968.311515770951,7551.0,62.0,24352.666666666668,9.0,4363.040786939572,3704.105373713096,3681.05370066857,11681.002841582802,894.3884151745235,9016.356286401226,1332.0,13.0,63.0,191.0,827.0,223.0,238.0,279.0,65.0
